Date,Crop_Product,Category,Quantity_Sold_Demanded_kg,Price_per_kg_INR,Location,State,Season_Month,Weather_Festival_Info
2024-01-17,Spinach,Vegetable,309,13.6,Lucknow,Uttar Pradesh,Winter (January),Cold
2024-06-30,Coconut,Fruit,338,41.28,Bangalore,Karnataka,Monsoon (June),Rainy
2023-03-08,Ginger,Vegetable,140,83.1,Lucknow,Uttar Pradesh,Summer (March),Hot | Maha Shivratri
2023-01-19,Green Chilli,Vegetable,95,59.34,Kochi,Kerala,Winter (January),Cold
2023-12-20,Cabbage,Vegetable,224,17.21,Shimla,Himachal Pradesh,Winter (December),Cold
2024-06-23,Mango,Fruit,559,64.26,Ahmedabad,Gujarat,Monsoon (June),Rainy
2024-07-04,Carrot,Vegetable,194,35.58,Lucknow,Uttar Pradesh,Monsoon (July),Rainy
2024-10-08,Banana,Fruit,373,58.19,Hyderabad,Telangana,Autumn (October),Mild
2024-01-27,Guava,Fruit,306,46.36,Bangalore,Karnataka,Winter (January),Cold
2024-04-14,Radish,Vegetable,235,20.91,Chandigarh,Punjab,Summer (April),Hot
2023-11-04,Pineapple,Fruit,197,58.93,Lucknow,Uttar Pradesh,Autumn (November),Mild
2024-09-08,Corn,Vegetable,370,21.56,Chandigarh,Punjab,Monsoon (September),Rainy
2023-11-17,Capsicum,Vegetable,328,44.06,Bangalore,Karnataka,Autumn (November),Mild
2023-04-29,Pumpkin,Vegetable,118,27.53,Shimla,Himachal Pradesh,Summer (April),Hot
2023-09-25,Cauliflower,Vegetable,347,28.09,Delhi,Delhi,Monsoon (September),Rainy
2023-12-14,Onion,Vegetable,678,30.49,Chandigarh,Punjab,Winter (December),Cold
2023-02-27,Okra,Vegetable,294,50.24,Bangalore,Karnataka,Winter (February),Cold
2024-10-03,Mango,Fruit,339,92.27,Hyderabad,Telangana,Autumn (October),Mild
2023-12-19,Cluster Beans,Vegetable,117,37.84,Patna,Bihar,Winter (December),Cold
2023-08-03,Watermelon,Fruit,489,19.23,Hyderabad,Telangana,Monsoon (August),Rainy
2024-03-26,Cucumber,Vegetable,561,24.93,Mumbai,Maharashtra,Summer (March),Hot
2024-03-16,Apple,Fruit,284,160.07,Chandigarh,Punjab,Summer (March),Hot
2024-11-26,Cabbage,Vegetable,480,18.21,Delhi,Delhi,Autumn (November),Mild
2023-12-23,Bottle Gourd,Vegetable,182,29.93,Chandigarh,Punjab,Winter (December),Cold
2024-02-14,Green Chilli,Vegetable,148,58.02,Chennai,Tamil Nadu,Winter (February),Cold | Vasant Panchami
2023-06-09,Cluster Beans,Vegetable,178,35.08,Guwahati,Assam,Monsoon (June),Rainy
2024-09-29,Potato,Vegetable,556,22.39,Bhopal,Madhya Pradesh,Monsoon (September),Rainy
2023-07-22,Muskmelon,Fruit,398,32.27,Hyderabad,Telangana,Monsoon (July),Rainy
2023-10-28,Green Chilli,Vegetable,135,51.99,Kochi,Kerala,Autumn (October),Mild
2024-12-21,Green Chilli,Vegetable,105,56.06,Chandigarh,Punjab,Winter (December),Cold
